ID=f63a590f-6aff-4612-b98d-5a985bab4bbe | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:25.456 | ÚltimaExecução=00:35:25.583
ID=e74b6bf6-5a32-4add-85cd-0f95bee2cc76 | Reentradas=2 | Latência=147ms | Status=sfSucesso | Entrada=00:34:57.620 | ÚltimaExecução=00:35:11.020
ID=6ae277f6-27bd-4158-8db2-d5256f6aeec9 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:16.749 | ÚltimaExecução=00:35:16.876
ID=ccbf808c-ec45-467c-8ee8-5b62b28ad67b | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:24.450 | ÚltimaExecução=00:35:24.577
ID=66a3dca5-6d69-4018-9b22-9e6d2acac4b9 | Reentradas=0 | Latência=146ms | Status=sfSucesso | Entrada=00:35:14.599 | ÚltimaExecução=00:35:14.745
ID=548d205c-726c-4e61-8dec-6440d3dd6630 | Reentradas=3 | Latência=147ms | Status=sfSucesso | Entrada=00:34:52.174 | ÚltimaExecução=00:35:09.805
ID=1bb2ce75-6052-4c64-8c24-5e2e80812f2c | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=00:35:09.712 | ÚltimaExecução=00:35:09.859
ID=d4f1eec0-5e39-45b4-a39c-9fe09e24803f | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:34:49.366 | ÚltimaExecução=00:34:54.719
ID=568e061b-0353-46da-99e2-dbec9547130c | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:25.581 | ÚltimaExecução=00:35:25.708
ID=8d3e6880-7eeb-4c41-b7a3-6111c5042292 | Reentradas=0 | Latência=226ms | Status=sfSucesso | Entrada=00:34:45.682 | ÚltimaExecução=00:34:45.909
ID=72df86a0-c9d8-41ae-b0ef-99689ad31943 | Reentradas=0 | Latência=226ms | Status=sfSucesso | Entrada=00:34:37.623 | ÚltimaExecução=00:34:37.849
ID=71a2dab7-15a6-402d-87d9-d9709ce00b78 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:34:34.600 | ÚltimaExecução=00:34:34.727
ID=4e6d208f-66b5-43f7-9e0a-c799c0e649e5 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:34:29.963 | ÚltimaExecução=00:34:30.090
ID=604b44f6-194d-4976-9b66-b9f1e54b48ad | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:20.554 | ÚltimaExecução=00:35:20.681
ID=2e8209cc-b9ef-4bce-8d3b-8650c845ce87 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:34:50.373 | ÚltimaExecução=00:34:55.724
ID=b7022643-0eec-4a7e-84fe-adb575c81780 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:13.733 | ÚltimaExecução=00:35:13.881
ID=57eec354-c0d6-4cc7-b656-5c6d481af6d9 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:22.642 | ÚltimaExecução=00:35:22.769
ID=3071cbf7-2b38-4890-bfa9-08b0508d2392 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:20.409 | ÚltimaExecução=00:35:20.536
ID=e732a004-5bce-4ff1-9862-5be8417e26ae | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:19.255 | ÚltimaExecução=00:35:19.382
ID=f740af51-05b2-4d42-ae46-8491bbf0a287 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:25.811 | ÚltimaExecução=00:35:25.938
ID=9fcdcb7d-ff41-4a49-89ae-97c2ed91b88e | Reentradas=0 | Latência=129ms | Status=sfSucesso | Entrada=00:34:31.984 | ÚltimaExecução=00:34:32.113
ID=db846849-ca99-4122-a243-16785f6d3fb1 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:19.549 | ÚltimaExecução=00:35:19.677
ID=1052bf41-b663-49e1-9b6a-783ecc9c08cd | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:18.620 | ÚltimaExecução=00:35:18.747
ID=d5f007fc-7ba6-404b-8333-00a950b21c40 | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=00:35:22.271 | ÚltimaExecução=00:35:22.398
ID=8571c078-875f-4236-a540-b55d09ccaa07 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=00:35:09.066 | ÚltimaExecução=00:35:09.213
ID=f33cef6e-8fc4-4c0c-a097-9b7f181c182c | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:34:48.126 | ÚltimaExecução=00:34:53.480
ID=f613591c-e094-499c-aa0c-2b93c40f47fc | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:18.544 | ÚltimaExecução=00:35:18.671
ID=f4f8b4c6-378a-4336-ab62-57321317825f | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:34:48.347 | ÚltimaExecução=00:34:53.701
ID=5d1baec4-73e2-4a89-977f-f75815276d38 | Reentradas=3 | Latência=149ms | Status=sfSucesso | Entrada=00:34:52.729 | ÚltimaExecução=00:35:10.364
ID=9041ee27-8420-4b9c-9bde-62869f4a6157 | Reentradas=0 | Latência=228ms | Status=sfSucesso | Entrada=00:34:40.059 | ÚltimaExecução=00:34:40.286
ID=81aa4a80-a236-4344-a81b-4e5de7748d10 | Reentradas=1 | Latência=147ms | Status=sfSucesso | Entrada=00:35:00.794 | ÚltimaExecução=00:35:08.069
ID=61963ae4-2b6f-4fd5-b13c-7be6b481de3a | Reentradas=0 | Latência=2127ms | Status=sfSucesso | Entrada=00:35:04.815 | ÚltimaExecução=00:35:06.942
ID=345f01d6-415a-439a-a57b-43954b787463 | Reentradas=1 | Latência=132ms | Status=sfSucesso | Entrada=00:34:48.943 | ÚltimaExecução=00:34:54.302
ID=45be4d26-d0ec-474a-9788-67b3b22fb877 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:23.150 | ÚltimaExecução=00:35:23.277
ID=f8e89044-56f5-448e-b5f2-ccf7c257b0fd | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:18.891 | ÚltimaExecução=00:35:19.018
ID=04ebc294-32db-4b06-8174-f7120baa1a34 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:19.896 | ÚltimaExecução=00:35:20.023
ID=c36c1e0e-761a-4d38-a1e3-d2f2d6c6f5bc | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:13.593 | ÚltimaExecução=00:35:13.740
ID=5b6ccffa-a10d-44ba-a24c-470b75d17be4 | Reentradas=1 | Latência=147ms | Status=sfSucesso | Entrada=00:34:59.780 | ÚltimaExecução=00:35:07.055
ID=060e6d01-5180-4732-86a5-2b993b85247d | Reentradas=0 | Latência=151ms | Status=sfSucesso | Entrada=00:35:07.055 | ÚltimaExecução=00:35:07.205
ID=2ef77e21-93ea-4af7-bbcd-dbe20c0fb33c | Reentradas=1 | Latência=149ms | Status=sfSucesso | Entrada=00:35:01.246 | ÚltimaExecução=00:35:08.523
ID=e73f55c4-4d5d-4e4c-a05e-4f9f48af2688 | Reentradas=1 | Latência=151ms | Status=sfSucesso | Entrada=00:35:00.657 | ÚltimaExecução=00:35:07.938
ID=3bc7d508-8773-425b-98a1-d01616f3e33e | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:34:25.924 | ÚltimaExecução=00:34:26.052
ID=93d92cb5-f9ea-45b3-ab83-7d6e0c13fdbe | Reentradas=2 | Latência=148ms | Status=sfSucesso | Entrada=00:34:56.996 | ÚltimaExecução=00:35:10.402
