ID=2b62298d-1b2c-45d1-a4ce-f6899ae374eb | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:27.347 | ÚltimaExecução=00:57:37.475
ID=5d8b20df-8af3-43b8-8d21-03db739fb5db | Reentradas=0 | Latência=228ms | Status=sfSucesso | Entrada=00:57:04.692 | ÚltimaExecução=00:57:04.920
ID=a81ad57f-b9bb-407b-9c53-b7ca201f0da6 | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:57:43.855 | ÚltimaExecução=00:57:43.982
ID=144f3bed-25d1-4c14-859f-f37d872a5f17 | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:29.624 | ÚltimaExecução=00:57:39.750
ID=9f899250-db03-400b-8bb3-6b5f1875c04f | Reentradas=0 | Latência=229ms | Status=sfSucesso | Entrada=00:56:55.644 | ÚltimaExecução=00:56:55.873
ID=e91b3d32-9963-41de-a6c1-a85cf00e2c7c | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:21.576 | ÚltimaExecução=00:57:38.828
ID=ae674559-f091-4efc-b913-18f6739d1ef2 | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:28.618 | ÚltimaExecução=00:57:38.745
ID=f991673d-2911-462a-b7dc-1496aba0fa98 | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:26.220 | ÚltimaExecução=00:57:41.348
ID=b91ebd23-ac4a-4f6e-ace2-1eb6ac999d4c | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:57:41.844 | ÚltimaExecução=00:57:41.971
ID=0250d7e0-4c7f-4701-a541-8b553d352afe | Reentradas=1 | Latência=146ms | Status=sfSucesso | Entrada=00:57:05.180 | ÚltimaExecução=00:57:10.560
ID=97fbfcb7-93f6-43a7-b8be-6bcc5f155aa5 | Reentradas=4 | Latência=127ms | Status=sfSucesso | Entrada=00:57:15.073 | ÚltimaExecução=00:57:37.453
ID=1a31f96a-63a6-47d1-9e29-f35bc031dd3e | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:38.318 | ÚltimaExecução=00:57:38.445
ID=e5a2c0cd-64dc-4e7a-b0f3-8678fd2a5428 | Reentradas=1 | Latência=131ms | Status=sfSucesso | Entrada=00:57:35.296 | ÚltimaExecução=00:57:40.426
ID=57a461e3-71fe-49d0-907b-bd13fbfdc4f8 | Reentradas=0 | Latência=231ms | Status=sfSucesso | Entrada=00:56:57.092 | ÚltimaExecução=00:56:57.323
ID=431b5d8c-35b6-419b-a888-292199a18164 | Reentradas=0 | Latência=130ms | Status=sfSucesso | Entrada=00:57:39.086 | ÚltimaExecução=00:57:39.216
ID=4df305c3-8149-43d0-9eaa-bd4f736d899c | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:30.628 | ÚltimaExecução=00:57:40.755
ID=cd486308-d4fb-4aaf-b6fb-80970a3d7bec | Reentradas=0 | Latência=131ms | Status=sfSucesso | Entrada=00:57:44.141 | ÚltimaExecução=00:57:44.272
ID=b0e0a750-da71-4dee-917e-a89ee903ba2d | Reentradas=1 | Latência=126ms | Status=sfSucesso | Entrada=00:57:35.651 | ÚltimaExecução=00:57:40.778
ID=d10b9872-d974-4520-8508-ab7ad231e9f9 | Reentradas=4 | Latência=127ms | Status=sfSucesso | Entrada=00:57:18.559 | ÚltimaExecução=00:57:40.814
ID=0c9c1b99-1510-4bca-9b1a-90b24700492b | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:38.294 | ÚltimaExecução=00:57:38.422
ID=3a2e6ed3-6436-4bc7-a70f-922ac60a7942 | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:28.354 | ÚltimaExecução=00:57:38.482
ID=674ded40-65f1-4820-8c24-c3e012d1f44b | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:39.301 | ÚltimaExecução=00:57:39.428
ID=6bce3c97-4315-47e0-8c7c-4bd7aff3e764 | Reentradas=2 | Latência=126ms | Status=sfSucesso | Entrada=00:57:30.246 | ÚltimaExecução=00:57:40.373
ID=d075c9b7-9863-44bd-bbc3-97b941721f4e | Reentradas=0 | Latência=130ms | Status=sfSucesso | Entrada=00:56:52.630 | ÚltimaExecução=00:56:52.761
ID=e1847ec4-2d3f-4f34-a508-af33559a62a2 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:38.660 | ÚltimaExecução=00:57:38.787
ID=06f96895-2c9c-465a-9e99-d577d268f6d3 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:56:51.017 | ÚltimaExecução=00:56:51.144
ID=54e19b3f-962b-4c39-8a02-56f16f629601 | Reentradas=0 | Latência=2128ms | Status=sfSucesso | Entrada=00:57:24.690 | ÚltimaExecução=00:57:26.818
ID=263509d1-0fc7-4935-8ce7-200c138c4ba1 | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:21.674 | ÚltimaExecução=00:57:38.928
ID=b724e1ef-0d13-48bb-baff-ec266c2788fa | Reentradas=3 | Latência=128ms | Status=sfSucesso | Entrada=00:57:26.340 | ÚltimaExecução=00:57:41.522
ID=f71a21d8-d6c2-4ade-a328-02bdf9cb6068 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:42.481 | ÚltimaExecução=00:57:42.608
ID=ae30d0b8-2c2b-4b31-a7a1-6f70fa232d44 | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:20.570 | ÚltimaExecução=00:57:37.824
ID=067cf6df-0389-4b81-81e4-254b035f3c53 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:56:46.976 | ÚltimaExecução=00:56:47.104
ID=ecc3038f-4f5b-4aa2-a1a6-b59704f24236 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:06.395 | ÚltimaExecução=00:57:11.752
ID=017c53f8-2351-46f3-bdeb-eeef30c15491 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:44.861 | ÚltimaExecução=00:57:44.988
ID=5e7dbf1f-d116-4c15-a13a-1ae2e0554562 | Reentradas=0 | Latência=130ms | Status=sfSucesso | Entrada=00:57:38.079 | ÚltimaExecução=00:57:38.210
