ID=b70a5aa1-a179-45e5-9e17-a22bf3d8dfb7 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:03.730 | ÚltimaExecução=01:00:03.735
ID=3f0124b0-05de-4da9-b81d-1b2ef4348511 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:58.519 | ÚltimaExecução=00:59:58.524
ID=00946564-44ae-4886-9b4b-51b1e8b84172 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:59.521 | ÚltimaExecução=00:59:59.526
ID=f2bf4f5e-d617-4814-91f6-cde5cdfb7e44 | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:01.525 | ÚltimaExecução=01:00:01.534
ID=5f70aaec-a86b-4b10-9f8d-7bd8beee3531 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:03.505 | ÚltimaExecução=01:00:03.510
ID=b0771fa8-5332-4a1f-a962-2c8754ee1307 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:57.881 | ÚltimaExecução=00:59:57.886
ID=c93f289c-1d7e-4b11-b69a-1cb655d456e6 | Reentradas=0 | Latência=14ms | Status=sfSalvo | Entrada=01:00:00.042 | ÚltimaExecução=01:00:00.056
ID=bffd3161-b912-4f59-ae08-96f02f2b17d6 | Reentradas=0 | Latência=197ms | Status=sfSalvo | Entrada=01:00:06.456 | ÚltimaExecução=01:00:06.653
ID=ac919c8a-90ef-44e7-89da-7daa40daf243 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:00.281 | ÚltimaExecução=01:00:00.286
ID=ac380ff8-a958-4be6-9cf8-3782b867cf26 | Reentradas=0 | Latência=8ms | Status=sfSalvo | Entrada=00:59:59.682 | ÚltimaExecução=00:59:59.690
ID=84ddcef5-f44d-4203-ad96-8e84838eeed9 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:01.926 | ÚltimaExecução=01:00:01.932
ID=13562ccf-3b76-40c2-9e2d-ac206a0c01b9 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:58.920 | ÚltimaExecução=00:59:58.926
ID=10c6558c-f0b2-4ac3-b064-d94da4a3b494 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:00.723 | ÚltimaExecução=01:00:00.729
ID=e072982e-7ef7-4a1f-adb3-1aa0a46a4c24 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:59.760 | ÚltimaExecução=00:59:59.766
ID=9a829876-ed1e-47da-8d09-314282700626 | Reentradas=0 | Latência=211ms | Status=sfSalvo | Entrada=01:00:05.693 | ÚltimaExecução=01:00:05.904
ID=7fa9bf6a-d2ff-4d39-919a-fd429b40d5b5 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.970 | ÚltimaExecução=01:00:03.976
ID=abc23a22-6906-41d9-9003-86b2192011db | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:59.247 | ÚltimaExecução=00:59:59.252
ID=87186b0c-450f-4ca9-b2a7-389fd77a7746 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:00.883 | ÚltimaExecução=01:00:00.888
ID=fafc9640-8b01-46d9-8b24-5db226375046 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.377 | ÚltimaExecução=01:00:02.382
ID=50a0267f-6c9f-4c06-952f-c261c9bd2e43 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:00.443 | ÚltimaExecução=01:00:00.448
ID=e2df3df0-02b2-49e3-aec2-2bde7fe85ba8 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:59.001 | ÚltimaExecução=00:59:59.007
ID=bc3dd655-6456-4b30-97cb-b5f8166b3729 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:59.441 | ÚltimaExecução=00:59:59.446
ID=a7489086-689b-4873-a96d-77a9c4e84bfc | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=00:59:59.886 | ÚltimaExecução=00:59:59.893
ID=328ed0c1-2251-4a72-9f25-bcf2b0845bd9 | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:01.726 | ÚltimaExecução=01:00:01.735
ID=efe3aae3-08b8-42d8-a1a0-c1dcf71262b2 | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:03.009 | ÚltimaExecução=01:00:03.019
ID=a737e775-2502-4396-b419-069bc03e24d0 | Reentradas=0 | Latência=205ms | Status=sfSalvo | Entrada=01:00:05.854 | ÚltimaExecução=01:00:06.059
ID=26e9faf3-e53b-4aac-ab69-8deb21825d8e | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:58.758 | ÚltimaExecução=00:59:58.764
ID=9c2a0a23-9f85-4835-a06e-dd896e4c9994 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:02.848 | ÚltimaExecução=01:00:02.854
ID=c3f1106d-a71f-413f-b2e6-162dc6dee47e | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.409 | ÚltimaExecução=01:00:03.415
